Pais,Año,PIB,Pobreza,Tasa de empleo,Mortalidad,Alfabetizacion,Años de estudio
America latina y caribe,1990,5895.0,16.8,62.4,43.7,84.4,7.9
America latina y caribe,1991,5985.0,16.1,62.4,41.9,85.0,7.9
America latina y caribe,1992,6041.0,15.9,62.4,40.1,85.6,7.9
America latina y caribe,1993,6151.0,15.7,62.4,38.3,86.2,7.9
America latina y caribe,1994,6344.0,14.4,62.4,36.5,86.8,7.9
America latina y caribe,1995,6312.0,14.4,62.4,34.8,87.4,7.9
America latina y caribe,1996,6445.0,16.2,62.4,33.2,87.7,7.9
America latina y caribe,1997,6673.0,15.3,62.4,31.6,88.0,7.9
America latina y caribe,1998,6719.0,14.5,62.4,30.3,88.5,7.9
America latina y caribe,1999,6622.0,14.7,62.4,28.7,88.8,7.9
America latina y caribe,2000,6759.0,13.5,62.4,27.5,89.0,7.9
America latina y caribe,2001,6701.0,13.2,62.4,26.3,89.1,7.9
America latina y caribe,2002,6624.0,12.4,62.9,25.0,89.2,8.0
America latina y caribe,2003,6675.0,12.1,63.1,23.9,90.0,8.1
America latina y caribe,2004,6986.0,11.0,63.8,22.9,90.0,8.2
America latina y caribe,2005,7209.0,10.4,64.1,21.9,90.5,8.3
America latina y caribe,2006,7514.0,8.5,65.4,21.0,90.4,8.5
America latina y caribe,2007,7848.0,8.0,65.6,20.1,91.1,8.5
America latina y caribe,2008,8073.0,7.5,65.1,19.4,91.3,8.6
America latina y caribe,2009,7832.0,7.1,64.8,18.7,91.6,8.8
America latina y caribe,2010,8223.0,6.4,64.6,18.5,91.6,8.8
America latina y caribe,2011,8502.0,6.0,64.5,17.4,92.1,9.0
America latina y caribe,2012,8645.0,5.1,65.2,16.9,92.4,9.1
America latina y caribe,2013,8799.0,4.5,65.2,16.4,92.4,9.2
America latina y caribe,2014,8811.0,4.3,65.4,16.0,92.8,9.3
America latina y caribe,2015,8731.0,4.2,64.3,15.6,93.0,9.4
America latina y caribe,2016,8562.0,4.4,64.6,15.8,93.5,9.5
America latina y caribe,2017,8588.0,4.4,64.6,15.1,93.5,9.5
America latina y caribe,2018,8605.0,4.3,64.8,14.8,93.7,9.6
America latina y caribe,2019,8536.0,4.3,65.1,14.4,94.1,9.7
America latina y caribe,2020,7893.0,3.9,60.7,14.0,94.1,9.8
Antigua y Barbuda,1990,12117.0,68.2,-17.91,11.3,98.9,7.4
Antigua y Barbuda,1991,12323.0,68.2,3.51,11.5,98.9,7.4
Antigua y Barbuda,1992,12254.0,68.2,6.28,11.8,98.9,7.4
Antigua y Barbuda,1993,12685.0,68.2,7.38,12.1,98.9,7.4
Antigua y Barbuda,1994,13270.0,68.2,7.68,12.4,98.9,7.4
Antigua y Barbuda,1995,12450.0,68.2,7.75,12.8,98.9,7.4
Antigua y Barbuda,1996,13006.0,68.2,6.87,12.8,98.9,7.4
Antigua y Barbuda,1997,13448.0,68.2,6.95,12.9,98.9,7.4
Antigua y Barbuda,1998,13813.0,68.2,6.43,13.0,98.9,7.4
Antigua y Barbuda,1999,14092.0,68.2,5.3,12.8,98.9,7.4
Antigua y Barbuda,2000,14707.0,68.2,3.61,12.5,98.9,7.4
Antigua y Barbuda,2001,13835.0,68.2,1.95,12.2,98.9,7.4
Antigua y Barbuda,2002,13796.0,68.2,0.66,11.8,96.0,7.4
Antigua y Barbuda,2003,14466.0,68.2,0.52,11.4,96.0,7.4
Antigua y Barbuda,2004,15145.0,68.2,1.28,10.9,96.0,7.4
Antigua y Barbuda,2005,15924.0,68.2,2.53,10.5,96.0,7.4
Antigua y Barbuda,2006,17726.0,68.2,3.89,10.0,96.0,7.4
Antigua y Barbuda,2007,19117.0,68.2,4.55,9.5,96.0,7.4
Antigua y Barbuda,2008,18816.0,68.2,4.44,9.1,96.0,7.4
Antigua y Barbuda,2009,16330.0,68.2,4.01,8.6,96.0,7.4
Antigua y Barbuda,2010,14839.0,68.2,3.45,8.2,96.0,7.4
Antigua y Barbuda,2011,14380.0,68.2,2.85,7.7,96.0,7.4
Antigua y Barbuda,2012,14696.0,68.2,2.32,7.3,96.0,7.4
Antigua y Barbuda,2013,14476.0,68.2,1.76,6.9,96.0,7.4
Antigua y Barbuda,2014,14907.0,68.2,1.21,6.6,96.0,7.4
Antigua y Barbuda,2015,15357.0,68.2,0.67,6.3,96.0,7.4
Antigua y Barbuda,2016,16076.0,68.2,0.18,6.0,96.0,7.4
Antigua y Barbuda,2017,16490.0,68.2,0.0,5.8,96.0,7.4
Antigua y Barbuda,2018,17519.0,68.2,0.0,5.6,96.0,7.4
Antigua y Barbuda,2019,18181.0,68.2,0.0,5.4,96.0,7.4
Antigua y Barbuda,2020,14902.0,68.2,0.0,5.2,96.0,7.4
Argentina,1990,7549.0,68.2,0.18,25.0,96.0,7.4
Argentina,1991,8230.0,68.2,-0.26,24.3,96.0,7.4
Argentina,1992,8896.0,68.2,-0.39,23.6,97.2,7.4
Argentina,1993,9278.0,68.2,-0.48,22.8,97.2,7.4
Argentina,1994,9688.0,68.2,-0.54,22.1,97.2,7.4
Argentina,1995,9290.0,68.2,-0.56,21.4,97.2,7.4
Argentina,1996,9680.0,68.2,-0.58,20.7,97.2,7.4
Argentina,1997,10341.0,68.2,-0.58,20.1,97.2,7.4
Argentina,1998,10615.0,68.2,-0.56,19.4,97.2,7.4
Argentina,1999,10138.0,68.2,-0.55,18.8,97.2,7.4
Argentina,2000,9945.0,68.2,-0.61,18.2,97.2,7.4
Argentina,2001,9403.0,68.2,-0.61,17.6,97.2,7.4
Argentina,2002,8289.0,68.2,-0.6,17.0,70.3,7.4
Argentina,2003,8929.0,68.2,-0.58,16.5,70.3,7.4
Argentina,2004,9636.0,68.2,-0.58,15.9,70.3,7.4
