Pais,Año,PIB,Pobreza,Tasa de empleo,Mortalidad
EEUU,1990,23889,0.5,62.8,7.1
EEUU,1991,24342,0.5,61.7,7.1
EEUU,1992,25419,0.5,61.5,7.1
EEUU,1993,26387,0.5,61.7,7.1
EEUU,1994,27695,0.5,62.5,7.1
EEUU,1995,28691,0.5,62.9,7.1
EEUU,1996,29968,0.7,63.2,7.1
EEUU,1997,31459,0.7,63.8,7.1
EEUU,1998,32854,0.7,64.1,7.1
EEUU,1999,34515,0.7,64.3,7.1
EEUU,2000,36330,0.7,64.4,7.1
EEUU,2001,37134,0.7,63.7,7.0
EEUU,2002,37998,0.7,62.7,6.9
EEUU,2003,39490,1.0,62.3,6.9
EEUU,2004,41725,1.0,62.3,6.8
EEUU,2005,44123,1.0,62.7,6.7
EEUU,2006,46302,1.0,63.1,6.7
EEUU,2007,48050,1.0,63.0,6.6
EEUU,2008,48570,1.0,62.2,6.5
EEUU,2009,47195,1.0,59.3,6.4
EEUU,2010,48651,1.0,58.5,6.2
EEUU,2011,50066,1.0,58.4,6.1
EEUU,2012,51784,1.0,58.6,6.0
EEUU,2013,53291,1.0,58.6,6.0
EEUU,2014,55124,1.2,61.7,5.9
EEUU,2015,56763,1.2,61.7,5.8
EEUU,2016,57867,1.0,61.7,5.7
EEUU,2017,59908,1.2,61.7,5.7
EEUU,2018,62823,1.0,61.7,5.6
EEUU,2019,65120,1.0,61.7,5.5
EEUU,2020,63529,0.2,61.7,5.4
Canada,1990,21526,0.2,61.7,5.3
Canada,1991,21846,0.2,59.7,5.3
Canada,1992,20950,0.2,58.3,5.3
Canada,1993,20187,0.2,57.9,5.3
Canada,1994,19998,0.2,58.4,5.3
Canada,1995,20679,0.2,58.7,5.3
Canada,1996,21297,0.2,58.5,5.3
Canada,1997,21902,0.2,59.0,5.3
Canada,1998,21025,0.5,59.7,5.3
Canada,1999,22315,0.5,60.6,5.3
Canada,2000,24271,0.2,61.3,5.3
Canada,2001,23821,0.2,61.1,5.3
Canada,2002,24255,0.2,61.7,5.3
Canada,2003,28300,0.2,62.4,5.3
Canada,2004,32144,0.2,62.6,5.3
Canada,2005,36383,0.2,62.5,5.2
Canada,2006,40504,0.2,62.8,5.2
Canada,2007,44660,0.2,63.4,5.1
Canada,2008,46711,0.2,63.5,5.1
Canada,2009,40876,0.2,61.6,5.0
Canada,2010,47562,0.2,61.6,5.0
Canada,2011,52224,0.2,61.8,4.9
Canada,2012,52669,0.2,61.8,4.8
Canada,2013,52635,0.5,61.8,4.8
Canada,2014,50956,0.2,62.4,4.7
Canada,2015,43596,0.2,62.4,4.7
Canada,2016,42316,0.2,62.4,4.7
Canada,2017,45129,0.2,62.4,4.6
Canada,2018,46548,0.2,62.4,4.6
Canada,2019,46374,0.2,62.4,4.5
Canada,2020,43350,0.2,62.4,4.5
America latina y caribe,1990,5895,16.8,62.4,43.7
America latina y caribe,1991,5985,16.1,62.4,41.9
America latina y caribe,1992,6041,15.9,62.4,40.1
America latina y caribe,1993,6151,15.7,62.4,38.3
America latina y caribe,1994,6344,14.4,62.4,36.5
America latina y caribe,1995,6312,14.4,62.4,34.8
America latina y caribe,1996,6445,14.4,62.4,33.2
America latina y caribe,1997,6673,15.3,62.4,31.6
America latina y caribe,1998,6719,14.5,62.4,30.3
America latina y caribe,1999,6622,14.7,62.4,28.7
America latina y caribe,2000,6759,13.5,62.4,27.5
America latina y caribe,2001,6701,13.2,62.4,26.3
America latina y caribe,2002,6624,12.4,62.9,25.0
America latina y caribe,2003,6675,12.1,63.1,23.9
America latina y caribe,2004,6986,11.0,63.8,22.9
America latina y caribe,2005,7209,10.4,64.1,21.9
America latina y caribe,2006,7514,8.5,65.4,21.0
America latina y caribe,2007,7848,8.0,65.6,20.1
America latina y caribe,2008,8073,7.5,65.1,19.4
America latina y caribe,2009,7832,7.1,64.8,18.7
America latina y caribe,2010,8223,6.4,64.6,18.5
America latina y caribe,2011,8502,6.0,64.5,17.4
America latina y caribe,2012,8645,5.1,65.2,16.9
America latina y caribe,2013,8799,4.5,65.2,16.4
America latina y caribe,2014,8811,4.3,65.4,16.0
America latina y caribe,2015,8731,4.2,64.3,15.6
America latina y caribe,2016,8562,4.4,64.6,15.8
America latina y caribe,2017,8588,4.4,64.6,15.1
America latina y caribe,2018,8605,4.3,64.8,14.8
America latina y caribe,2019,8536,4.3,65.1,14.4
America latina y caribe,2020,7893,3.9,60.7,14.0
