Pais,Año,PIB,Pobreza,Tasa de empleo,Mortalidad
EEUU,1990,23889,0.5,62.8,7.1
EEUU,1991,24342,0.5,61.7,7.1
EEUU,1992,25419,0.5,61.5,7.1
EEUU,1993,26387,0.5,61.7,7.1
EEUU,1994,27695,0.5,62.5,7.1
EEUU,1995,28691,0.5,62.9,7.1
EEUU,1996,29968,0.7,63.2,7.1
EEUU,1997,31459,0.7,63.8,7.1
EEUU,1998,32854,0.7,64.1,7.1
EEUU,1999,34515,0.7,64.3,7.1
EEUU,2000,36330,0.7,64.4,7.1
EEUU,2001,37134,0.7,63.7,7.0
EEUU,2002,37998,0.7,62.7,6.9
EEUU,2003,39490,1.0,62.3,6.9
EEUU,2004,41725,1.0,62.3,6.8
EEUU,2005,44123,1.0,62.7,6.7
EEUU,2006,46302,1.0,63.1,6.7
EEUU,2007,48050,1.0,63.0,6.6
EEUU,2008,48570,1.0,62.2,6.5
EEUU,2009,47195,1.0,59.3,6.4
EEUU,2010,48651,1.0,58.5,6.2
EEUU,2011,50066,1.0,58.4,6.1
EEUU,2012,51784,1.0,58.6,6.0
EEUU,2013,53291,1.0,58.6,6.0
EEUU,2014,55124,1.2,58.6,5.9
EEUU,2015,56763,1.2,58.6,5.8
EEUU,2016,57867,1.0,58.6,5.7
EEUU,2017,59908,1.2,58.6,5.7
EEUU,2018,62823,1.0,58.6,5.6
EEUU,2019,65120,1.0,58.6,5.5
EEUU,2020,63529,0.2,58.6,5.4
